Date,sku,product_name,category,units_sold,price,promotion,store,stock_level,is_assembly_required,customer_rating,fulfillment_center_id,profit_margin_percent,is_seasonal_item
2024-07-28,RASKOG-013,Råskog Cart,Storage,46.42,49.0,0,Athens,202,False,3.99,ATH_FC,34.36,False
2024-10-09,FJADRAR-014,Fjädrar Cushion,Decoration,46.5,17.32,1,Milan,29,False,4.61,MIL_FC,8.99,False
2024-10-26,RASKOG-013,Råskog Cart,Storage,20.28,49.0,0,Naples,484,False,4.42,NAP_FC,34.36,True
2024-09-22,FRIHET-010,Friheten Sofa Bed,Living Room,28.11,610.36,0,Thessaloniki,198,True,3.84,THS_FC,32.51,False
2024-09-08,ALEX-012,Alex Drawer Unit,Office,8.96,93.31,0,Naples,594,True,4.91,NAP_FC,33.03,False
2024-08-04,FORNYAD-011,Förnyad Mug,Kitchen,33.79,3.44,0,Milan,463,False,4.4,MIL_FC,35.89,False
2024-11-03,FRIHET-010,Friheten Sofa Bed,Living Room,9.52,610.36,0,Barcelona,420,True,4.0,BCN_FC,32.51,True
2024-09-29,MALM-009,Malm Dresser,Bedroom,16.67,200.76,0,Porto,56,True,4.5,OPO_FC,32.46,False
2024-06-12,FRIHET-010,Friheten Sofa Bed,Living Room,41.44,610.36,0,Naples,483,True,4.44,NAP_FC,32.51,False
2024-07-03,MALM-009,Malm Dresser,Bedroom,32.81,200.76,0,Valencia,419,True,4.17,VLC_FC,32.46,False
2024-07-26,MALM-009,Malm Dresser,Bedroom,30.29,200.76,0,Thessaloniki,574,True,4.27,THS_FC,32.46,False
2024-03-15,MALM-009,Malm Dresser,Bedroom,28.08,200.76,0,Athens,253,True,3.92,ATH_FC,32.46,True
2024-04-24,RASKOG-013,Råskog Cart,Storage,12.48,49.0,0,Valencia,303,False,3.88,VLC_FC,34.36,False
2025-04-27,FJADRAR-014,Fjädrar Cushion,Decoration,38.56,23.1,0,Rome,40,False,4.21,ROM_FC,31.74,False
2024-09-19,MALM-009,Malm Dresser,Bedroom,9.44,200.76,0,Athens,284,True,4.25,ATH_FC,32.46,False
2024-02-20,RASKOG-013,Råskog Cart,Storage,35.52,49.0,0,Naples,592,False,4.83,NAP_FC,34.36,False
2024-03-13,RASKOG-013,Råskog Cart,Storage,25.02,49.0,0,Athens,201,False,4.51,ATH_FC,34.36,False
2024-12-30,FORNYAD-011,Förnyad Mug,Kitchen,25.53,3.44,0,Rome,195,False,4.93,ROM_FC,35.89,False
2025-04-24,MALM-009,Malm Dresser,Bedroom,27.47,200.76,0,Marseille,694,True,3.98,MRS_FC,32.46,False
2025-04-27,FORNYAD-011,Förnyad Mug,Kitchen,49.9,3.44,0,Naples,579,False,4.71,NAP_FC,35.89,True
2024-10-27,ALEX-012,Alex Drawer Unit,Office,49.86,93.31,0,Athens,113,True,4.36,ATH_FC,33.03,False
2024-10-23,FJADRAR-014,Fjädrar Cushion,Decoration,25.91,23.1,0,Athens,534,False,3.81,ATH_FC,31.74,False
2024-08-06,ALEX-012,Alex Drawer Unit,Office,11.63,69.98,1,Bordeaux,521,True,4.4,BDX_FC,10.71,False
2024-07-01,RASKOG-013,Råskog Cart,Storage,27.05,36.75,1,Athens,720,False,4.22,ATH_FC,12.47,False
2024-11-30,FRIHET-010,Friheten Sofa Bed,Living Room,34.68,610.36,0,Rome,635,True,4.52,ROM_FC,32.51,False
2024-02-18,FRIHET-010,Friheten Sofa Bed,Living Room,10.07,610.36,0,Porto,560,True,4.87,OPO_FC,32.51,False
2024-05-01,BILLY-001,Billy Bookcase,Storage,28.0,411.75,1,Zenata,180,True,3.84,MOR_FC_ZN,16.36,False
2024-04-29,RASKOG-013,Råskog Cart,Storage,48.46,36.75,1,Marseille,284,False,4.07,MRS_FC,12.47,False
2025-05-18,FORNYAD-011,Förnyad Mug,Kitchen,6.05,3.44,0,Thessaloniki,177,False,4.97,THS_FC,35.89,False
2024-08-02,FJADRAR-014,Fjädrar Cushion,Decoration,18.63,23.1,0,Naples,727,False,4.61,NAP_FC,31.74,False
2024-07-13,ALEX-012,Alex Drawer Unit,Office,24.59,93.31,0,Valencia,629,True,4.11,VLC_FC,33.03,False
2024-10-26,FRIHET-010,Friheten Sofa Bed,Living Room,26.06,610.36,0,Porto,781,True,4.93,OPO_FC,32.51,False
2024-01-15,MALM-009,Malm Dresser,Bedroom,19.87,200.76,0,Milan,505,True,4.76,MIL_FC,32.46,False
2025-01-05,MALM-009,Malm Dresser,Bedroom,23.72,150.57,1,Bordeaux,246,True,4.86,BDX_FC,9.95,False
2025-03-18,RASKOG-013,Råskog Cart,Storage,30.68,36.75,1,Bordeaux,491,False,4.23,BDX_FC,12.47,False
2024-06-30,MALM-009,Malm Dresser,Bedroom,48.25,200.76,0,Thessaloniki,672,True,4.92,THS_FC,32.46,False
2024-11-10,RASKOG-013,Råskog Cart,Storage,11.21,49.0,0,Marseille,489,False,4.94,MRS_FC,34.36,False
2025-04-01,KALLAX-002,Kallax Shelf,Storage,36.0,299.25,1,Zenata,110,True,4.28,MOR_FC_ZN,2.0,True
2025-05-23,FORNYAD-011,Förnyad Mug,Kitchen,44.43,3.44,0,Rome,443,False,4.16,ROM_FC,35.89,False
2025-02-07,MALM-009,Malm Dresser,Bedroom,18.48,200.76,0,Porto,631,True,4.08,OPO_FC,32.46,False
2025-04-21,FRIHET-010,Friheten Sofa Bed,Living Room,33.59,610.36,0,Thessaloniki,702,True,4.38,THS_FC,32.51,False
2024-09-18,FRIHET-010,Friheten Sofa Bed,Living Room,41.86,610.36,0,Thessaloniki,445,True,4.72,THS_FC,32.51,False
2024-09-26,FRIHET-010,Friheten Sofa Bed,Living Room,21.75,610.36,0,Rome,616,True,4.5,ROM_FC,32.51,False
2025-02-27,MALM-009,Malm Dresser,Bedroom,15.49,200.76,0,Naples,30,True,4.34,NAP_FC,32.46,False
2024-06-14,FRIHET-010,Friheten Sofa Bed,Living Room,22.61,610.36,0,Bordeaux,651,True,4.61,BDX_FC,32.51,False
2024-08-02,KALLAX-002,Kallax Shelf,Storage,10.0,399.0,0,Zenata,200,True,3.81,MOR_FC_ZN,26.5,False
2024-12-06,ALEX-012,Alex Drawer Unit,Office,13.18,93.31,0,Milan,485,True,4.19,MIL_FC,33.03,False
2024-12-22,ALEX-012,Alex Drawer Unit,Office,32.22,93.31,0,Valencia,602,True,4.86,VLC_FC,33.03,False
2024-11-28,FORNYAD-011,Förnyad Mug,Kitchen,38.47,3.44,0,Thessaloniki,114,False,4.28,THS_FC,35.89,False
2024-09-14,FORNYAD-011,Förnyad Mug,Kitchen,23.62,3.44,0,Thessaloniki,79,False,3.93,THS_FC,35.89,False
2024-12-25,FJADRAR-014,Fjädrar Cushion,Decoration,34.35,23.1,0,Barcelona,58,False,4.9,BCN_FC,31.74,False
2024-09-09,FJADRAR-014,Fjädrar Cushion,Decoration,28.59,23.1,0,Bordeaux,157,False,4.21,BDX_FC,31.74,False
2025-02-03,FJADRAR-014,Fjädrar Cushion,Decoration,21.14,23.1,0,Rome,52,False,4.63,ROM_FC,31.74,True
2025-03-18,RASKOG-013,Råskog Cart,Storage,15.86,49.0,0,Naples,537,False,3.93,NAP_FC,34.36,False
2025-01-22,FRIHET-010,Friheten Sofa Bed,Living Room,5.86,610.36,0,Milan,236,True,4.68,MIL_FC,32.51,False
2024-12-11,MALM-009,Malm Dresser,Bedroom,13.97,150.57,1,Barcelona,149,True,4.37,BCN_FC,9.95,False
2025-02-02,LACK-004,Lack Table,Living Room,16.0,69.98,1,Zenata,484,True,4.28,MOR_FC_ZN,10.71,False
2024-05-03,MALM-009,Malm Dresser,Bedroom,27.7,200.76,0,Thessaloniki,468,True,4.99,THS_FC,32.46,False
2024-12-27,RASKOG-013,Råskog Cart,Storage,29.03,49.0,0,Athens,340,False,4.43,ATH_FC,34.36,False
2024-01-13,FJADRAR-014,Fjädrar Cushion,Decoration,49.42,17.32,1,Athens,91,False,4.73,ATH_FC,8.99,False
2024-11-17,MALM-009,Malm Dresser,Bedroom,24.52,200.76,0,Milan,508,True,4.26,MIL_FC,32.46,False
2024-11-28,FJADRAR-014,Fjädrar Cushion,Decoration,45.32,23.1,0,Porto,780,False,3.87,OPO_FC,31.74,False
2024-05-19,MALM-009,Malm Dresser,Bedroom,15.96,200.76,0,Barcelona,90,True,4.8,BCN_FC,32.46,False
2024-06-24,ALEX-012,Alex Drawer Unit,Office,36.35,93.31,0,Athens,697,True,4.66,ATH_FC,33.03,False
2025-04-11,RASKOG-013,Råskog Cart,Storage,45.36,49.0,0,Bordeaux,554,False,4.3,BDX_FC,34.36,False
2024-12-31,ALEX-012,Alex Drawer Unit,Office,5.3,69.98,1,Porto,562,True,4.67,OPO_FC,10.71,False
2024-10-08,FRIHET-010,Friheten Sofa Bed,Living Room,25.33,457.77,1,Porto,619,True,4.93,OPO_FC,10.01,False
2024-12-22,FJADRAR-014,Fjädrar Cushion,Decoration,33.83,23.1,0,Milan,647,False,4.49,MIL_FC,31.74,True
2024-11-10,FJADRAR-014,Fjädrar Cushion,Decoration,40.43,23.1,0,Naples,612,False,4.23,NAP_FC,31.74,False
2024-02-13,FRIHET-010,Friheten Sofa Bed,Living Room,15.74,610.36,0,Milan,790,True,4.5,MIL_FC,32.51,False
2024-06-15,ALEX-012,Alex Drawer Unit,Office,9.18,93.31,0,Naples,119,True,4.35,NAP_FC,33.03,False
2025-05-04,RASKOG-013,Råskog Cart,Storage,29.14,49.0,0,Rome,685,False,4.62,ROM_FC,34.36,False
2025-03-05,FJADRAR-014,Fjädrar Cushion,Decoration,40.19,23.1,0,Porto,422,False,4.24,OPO_FC,31.74,True
2025-04-18,FRIHET-010,Friheten Sofa Bed,Living Room,20.37,610.36,0,Rome,498,True,4.52,ROM_FC,32.51,False
2024-11-15,FJADRAR-014,Fjädrar Cushion,Decoration,28.7,17.32,1,Milan,385,False,4.83,MIL_FC,8.99,False
2025-02-19,FRIHET-010,Friheten Sofa Bed,Living Room,11.0,610.36,0,Naples,405,True,4.73,NAP_FC,32.51,False
2024-04-14,ALEX-012,Alex Drawer Unit,Office,47.98,69.98,1,Valencia,230,True,4.17,VLC_FC,10.71,False
2024-09-07,RASKOG-013,Råskog Cart,Storage,22.04,49.0,0,Naples,363,False,4.48,NAP_FC,34.36,False
2024-02-15,FRIHET-010,Friheten Sofa Bed,Living Room,43.24,610.36,0,Porto,664,True,4.49,OPO_FC,32.51,False
2024-07-26,ALEX-012,Alex Drawer Unit,Office,38.16,93.31,0,Milan,589,True,4.82,MIL_FC,33.03,False
2024-10-10,ALEX-012,Alex Drawer Unit,Office,16.94,93.31,0,Bordeaux,70,True,4.27,BDX_FC,33.03,False
2025-05-13,FORNYAD-011,Förnyad Mug,Kitchen,34.5,3.44,0,Milan,218,False,4.18,MIL_FC,35.89,False
2024-12-10,ALEX-012,Alex Drawer Unit,Office,48.17,93.31,0,Valencia,733,True,4.07,VLC_FC,33.03,False
2024-01-11,FJADRAR-014,Fjädrar Cushion,Decoration,13.14,17.32,1,Rome,106,False,4.96,ROM_FC,8.99,False
2024-09-25,ALEX-012,Alex Drawer Unit,Office,6.12,93.31,0,Thessaloniki,226,True,4.86,THS_FC,33.03,False
2024-06-05,FORNYAD-011,Förnyad Mug,Kitchen,43.74,3.44,0,Milan,719,False,4.01,MIL_FC,35.89,False
2024-01-29,MALM-009,Malm Dresser,Bedroom,46.68,200.76,0,Barcelona,310,True,4.3,BCN_FC,32.46,False
2025-04-07,ALEX-012,Alex Drawer Unit,Office,26.37,93.31,0,Naples,132,True,4.98,NAP_FC,33.03,False
2024-10-11,ALEX-012,Alex Drawer Unit,Office,7.87,93.31,0,Athens,98,True,4.4,ATH_FC,33.03,True
2024-12-20,ALEX-012,Alex Drawer Unit,Office,48.98,93.31,0,Thessaloniki,63,True,4.08,THS_FC,33.03,False
2024-05-03,RASKOG-013,Råskog Cart,Storage,35.72,49.0,0,Marseille,168,False,4.24,MRS_FC,34.36,False
2024-09-25,FORNYAD-011,Förnyad Mug,Kitchen,46.42,3.44,0,Bordeaux,230,False,4.87,BDX_FC,35.89,False
2024-12-23,FRIHET-010,Friheten Sofa Bed,Living Room,32.86,610.36,0,Barcelona,441,True,4.86,BCN_FC,32.51,False
2024-05-26,FRIHET-010,Friheten Sofa Bed,Living Room,36.85,457.77,1,Barcelona,52,True,4.83,BCN_FC,10.01,False
2024-05-07,ALEX-012,Alex Drawer Unit,Office,23.27,93.31,0,Thessaloniki,197,True,4.37,THS_FC,33.03,False
2024-07-21,BILLY-001,Billy Bookcase,Storage,16.0,549.0,0,Zenata,260,True,4.7,MOR_FC_ZN,37.27,False
2025-04-10,FJADRAR-014,Fjädrar Cushion,Decoration,29.27,23.1,0,Porto,610,False,4.37,OPO_FC,31.74,False
2024-08-24,MALM-009,Malm Dresser,Bedroom,25.77,200.76,0,Rome,530,True,4.92,ROM_FC,32.46,False
2025-03-04,FJADRAR-014,Fjädrar Cushion,Decoration,8.89,23.1,0,Athens,424,False,4.79,ATH_FC,31.74,True
2024-08-08,ALEX-012,Alex Drawer Unit,Office,14.84,93.31,0,Rome,180,True,4.92,ROM_FC,33.03,False
2024-12-03,ALEX-012,Alex Drawer Unit,Office,13.1,93.31,0,Athens,254,True,4.78,ATH_FC,33.03,False
2024-07-15,MALM-009,Malm Dresser,Bedroom,47.01,200.76,0,Milan,766,True,4.74,MIL_FC,32.46,False
2025-04-24,FJADRAR-014,Fjädrar Cushion,Decoration,10.68,23.1,0,Porto,390,False,4.26,OPO_FC,31.74,False
2025-03-16,ALEX-012,Alex Drawer Unit,Office,28.19,93.31,0,Naples,466,True,4.28,NAP_FC,33.03,False
2024-11-30,ALEX-012,Alex Drawer Unit,Office,8.72,93.31,0,Porto,319,True,3.84,OPO_FC,33.03,False
2024-12-24,FORNYAD-011,Förnyad Mug,Kitchen,12.31,3.44,0,Naples,326,False,4.51,NAP_FC,35.89,False
2024-12-13,ALEX-012,Alex Drawer Unit,Office,29.64,69.98,1,Barcelona,512,True,4.49,BCN_FC,10.71,False
2024-11-30,FJADRAR-014,Fjädrar Cushion,Decoration,13.37,17.32,1,Naples,150,False,4.17,NAP_FC,8.99,False
2024-07-06,FRIHET-010,Friheten Sofa Bed,Living Room,40.49,610.36,0,Thessaloniki,168,True,4.99,THS_FC,32.51,False
2025-01-02,ALEX-012,Alex Drawer Unit,Office,42.1,93.31,0,Rome,795,True,4.3,ROM_FC,33.03,False
2025-04-05,FRIHET-010,Friheten Sofa Bed,Living Room,30.31,610.36,0,Porto,157,True,4.27,OPO_FC,32.51,False
2024-06-21,RASKOG-013,Råskog Cart,Storage,27.33,49.0,0,Marseille,382,False,4.06,MRS_FC,34.36,False
2024-05-26,MALM-009,Malm Dresser,Bedroom,41.72,200.76,0,Valencia,148,True,3.95,VLC_FC,32.46,False
2025-01-01,FJADRAR-014,Fjädrar Cushion,Decoration,25.52,23.1,0,Milan,731,False,3.97,MIL_FC,31.74,False
2024-09-09,RASKOG-013,Råskog Cart,Storage,26.32,49.0,0,Porto,617,False,4.58,OPO_FC,34.36,False
2025-03-13,ALEX-012,Alex Drawer Unit,Office,41.2,93.31,0,Marseille,203,True,4.33,MRS_FC,33.03,True
2024-08-19,MALM-009,Malm Dresser,Bedroom,35.85,200.76,0,Naples,355,True,4.39,NAP_FC,32.46,True
2024-08-11,ALEX-012,Alex Drawer Unit,Office,32.02,93.31,0,Barcelona,237,True,3.99,BCN_FC,33.03,False
